"","xaxis","riv_sort","River","site","site2","Reach","year","sex","pop","capture","exuv_m","gcmyr","halfwidth","predflux","obs_exp","wid","Sitemean","site_c_lo","site_c_high","river","Rivermean","riverCIlow","riverCIhigh","gcmyr01","siteyr","flux_50","dep_25","dep_50","dep_75","dep_100","color","exuvia_f_gcmyr","exuvia_m_gcmyr","exuvia_tot","adult_C","adult_P","adult_N","exuvia_C","exuvia_P","exuvia_N","dep_100c","dep_25c","dep_50c","dep_75c","dep_100N","dep_25N","dep_50N","dep_75N","dep_100P","dep_25P","dep_50P","dep_75P"
"45",45,4,"Rio Grande","Upper Control 1","Uppe",23,2014,0.57,"788.5","0.83",25.9,1.8,20.1,21.1,0.09,40.1,0.34,0.05,0.63,"Rio Grande",0.15,-0.11,0.41,1.81,"Upper Control 1 2014",0.9,0.0833333333333333,0.166666666666667,0.25,0.333333333333333,"raw_data",0.10062,0.21546,0.31608,1.48392,0.0119670967741935,0.235542857142857,0.205452,0.00107696612903226,0.0211974285714286,0.480252,0.274152,0.342852,0.411552,0.0648164761904762,0.0321021904761905,0.0430069523809524,0.0539117142857143,0.00329309516129032,0.00163099838709677,0.00218503064516129,0.00273906290322581
"46",46,4,"Rio Grande","Wason Upper 2","WasoU",30,2014,0.47,"795.7","0.84",26.1,1.9,19.9,20.9,0.09,39.7,0.09,-0.2,0.38,"Rio Grande",0.15,-0.11,0.41,1.91,"Wason Upper 2 2014",0.95,0.087962962962963,0.175925925925926,0.263888888888889,0.351851851851852,"raw_data",0.13091,0.18753,0.31844,1.58156,0.0127545161290323,0.25104126984127,0.206986,0.00108500725806452,0.0213556984126984,0.499867481481481,0.28020637037037,0.353426740740741,0.426647111111111,0.067844822457378,0.0329779794238683,0.0446002604350382,0.0562225414462081,0.00344695468936679,0.00167549411589008,0.00226598097371565,0.00285646783154122
"47",47,4,"Rio Grande","Wason Upper 3","WasoU",31,2014,0.52,"788.6","0.86",25.9,1.9,19.9,20.9,0.09,39.7,0.09,-0.2,0.38,"Rio Grande",0.15,-0.11,0.41,1.91,"Wason Upper 3 2014",0.95,0.087962962962963,0.175925925925926,0.263888888888889,0.351851851851852,"raw_data",0.11856,0.20748,0.32604,1.57396,0.0126932258064516,0.249834920634921,0.211926,0.00111090241935484,0.021865380952381,0.503400074074074,0.284794518518519,0.357663037037037,0.430531555555556,0.0681311069958848,0.0334318124632569,0.0449982439741329,0.0565646754850088,0.00346149979091995,0.00169855176224612,0.0022862011051374,0.00287385044802867
"48",48,4,"Rio Grande","Coller SWA1","Coll",19,2011,0.54,"661.6","0.8",21.7,1.5,18.3,19.2,0.08,36.5,0.07,-0.43,0.57,"Rio Grande",0.15,-0.11,0.41,1.51,"Coller SWA1 2011",0.75,0.0694444444444444,0.138888888888889,0.208333333333333,0.277777777777778,"raw_data",0.0897,0.1701,0.2598,1.2402,0.0100016129032258,0.196857142857143,0.16887,0.000885205645161291,0.0174230952380952,0.398536666666667,0.226286666666667,0.283703333333333,0.34112,0.0538781216931217,0.0265368518518519,0.0356506084656085,0.0447643650793651,0.0027373561827957,0.00134824327956989,0.00181128091397849,0.0022743185483871
"49",49,4,"Rio Grande","Upper Control 2","Uppe",24,2015,0.57,"759.7","0.79",24.9,1.7,20.1,21.1,0.08,40.1,0.34,0.05,0.63,"Rio Grande",0.15,-0.11,0.41,1.71,"Upper Control 2 2015",0.85,0.0787037037037037,0.157407407407407,0.236111111111111,0.314814814814815,"raw_data",0.09503,0.20349,0.29852,1.40148,0.0113022580645161,0.222457142857143,0.194038,0.00101713467741936,0.0200197936507937,0.453571333333333,0.258921333333333,0.323804666666667,0.388688,0.0612155608465608,0.0303187354497354,0.0406176772486773,0.050916619047619,0.00311014543010753,0.0015403873655914,0.00206364005376344,0.00258689274193548
"50",50,4,"Rio Grande","Wason Lower 1","WasoL",26,2015,0.61,"750.6","0.61",24.6,1.7,18.8,19.8,0.08,37.6,0.07,-0.22,0.36,"Rio Grande",0.15,-0.11,0.41,1.71,"Wason Lower 1 2015",0.85,0.0787037037037037,0.157407407407407,0.236111111111111,0.314814814814815,"raw_data",0.08619,0.21777,0.30396,1.39604,0.0112583870967742,0.221593650793651,0.197574,0.00103567016129032,0.020384619047619,0.456099925925926,0.262205481481481,0.326836962962963,0.391468444444444,0.0614204803057025,0.0306435843621399,0.0409025496766608,0.0511615149911817,0.00312055666069295,0.00155689178614098,0.00207811341099164,0.00259933503584229
"51",51,4,"Rio Grande","Upper Control 1","Uppe",23,2015,0.58,"654.5","0.79",21.5,1.5,20.1,21.1,0.07,40.1,0.34,0.05,0.63,"Rio Grande",0.15,-0.11,0.41,1.51,"Upper Control 1 2015",0.75,0.0694444444444444,0.138888888888889,0.208333333333333,0.277777777777778,"raw_data",0.0819,0.1827,0.2646,1.2354,0.00996290322580645,0.196095238095238,0.17199,0.000901560483870968,0.017745,0.400767777777778,0.229184444444444,0.286378888888889,0.343573333333333,0.0540589329805996,0.0268234832451499,0.0359019664902998,0.0449804497354497,0.00274654256272401,0.00136280600358423,0.00182405152329749,0.00228529704301075
"52",52,4,"Rio Grande","Upper Control 2","Uppe",24,2011,0.54,"633.6","0.74",20.8,1.5,20.1,21.1,0.07,40.1,0.34,0.05,0.63,"Rio Grande",0.15,-0.11,0.41,1.51,"Upper Control 2 2011",0.75,0.0694444444444444,0.138888888888889,0.208333333333333,0.277777777777778,"raw_data",0.0897,0.1701,0.2598,1.2402,0.0100016129032258,0.196857142857143,0.16887,0.000885205645161291,0.0174230952380952,0.398536666666667,0.226286666666667,0.283703333333333,0.34112,0.0538781216931217,0.0265368518518519,0.0356506084656085,0.0447643650793651,0.0027373561827957,0.00134824327956989,0.00181128091397849,0.0022743185483871
"53",53,4,"Rio Grande","Wason Lower 1","WasoL",26,2011,0.79,"745.8","0.84",24.5,1.5,18.8,19.8,0.07,37.6,0.07,-0.22,0.36,"Rio Grande",0.15,-0.11,0.41,1.51,"Wason Lower 1 2011",0.75,0.0694444444444444,0.138888888888889,0.208333333333333,0.277777777777778,"raw_data",0.04095,0.24885,0.2898,1.2102,0.00975967741935484,0.192095238095238,0.18837,0.000987423387096774,0.019435,0.412481111111111,0.244397777777778,0.300425555555556,0.356453333333333,0.0550081922398589,0.0283282980599647,0.0372215961199295,0.0461148941798942,0.00279477105734767,0.0014392603046595,0.00189109722222222,0.00234293413978495
"54",54,4,"Rio Grande","Wason Lower 3","WasoL",28,2011,0.54,"610.2","0.7",20,1.4,18.8,19.8,0.07,37.6,0.07,-0.22,0.36,"Rio Grande",0.15,-0.11,0.41,1.41,"Wason Lower 3 2011",0.7,0.0648148148148148,0.12962962962963,0.194444444444444,0.259259259259259,"raw_data",0.08372,0.15876,0.24248,1.15752,0.00933483870967742,0.183733333333333,0.157612,0.000826191935483871,0.0162615555555556,0.371967555555555,0.211200888888889,0.264789777777778,0.318378666666667,0.0502862469135802,0.0247677283950617,0.0332739012345679,0.0417800740740741,0.00255486577060932,0.00125836039426523,0.00169052885304659,0.00212269731182796
"55",55,4,"Rio Grande","Wason Lower 3","WasoL",28,2015,0.55,"618.1","0.83",20.3,1.4,18.8,19.8,0.07,37.6,0.07,-0.22,0.36,"Rio Grande",0.15,-0.11,0.41,1.41,"Wason Lower 3 2015",0.7,0.0648148148148148,0.12962962962963,0.194444444444444,0.259259259259259,"raw_data",0.0819,0.1617,0.2436,1.1564,0.0093258064516129,0.183555555555556,0.15834,0.000830008064516129,0.0163366666666667,0.372488148148148,0.211877037037037,0.265414074074074,0.318951111111111,0.0503284362139918,0.0248346090534979,0.0333325514403292,0.0418304938271605,0.00255700925925926,0.00126175836320191,0.00169350866188769,0.00212525896057348
"56",56,4,"Rio Grande","La Garita 3","Gari",22,2011,0.54,"499.3","0.78",16.4,1.2,18.6,19.6,0.06,37.2,0.13,-0.16,0.42,"Rio Grande",0.15,-0.11,0.41,1.21,"La Garita 3 2011",0.6,0.0555555555555556,0.111111111111111,0.166666666666667,0.222222222222222,"raw_data",0.07176,0.13608,0.20784,0.99216,0.00800129032258064,0.157485714285714,0.135096,0.000708164516129032,0.0139384761904762,0.318829333333333,0.181029333333333,0.226962666666667,0.272896,0.0431024973544974,0.0212294814814815,0.0285204867724868,0.0358114920634921,0.00218988494623656,0.00107859462365591,0.0014490247311828,0.00181945483870968
"57",57,4,"Rio Grande","Wason Upper 3","WasoU",31,2015,0.54,"496.4","0.79",16.3,1.2,19.9,20.9,0.06,39.7,0.09,-0.2,0.38,"Rio Grande",0.15,-0.11,0.41,1.21,"Wason Upper 3 2015",0.6,0.0555555555555556,0.111111111111111,0.166666666666667,0.222222222222222,"raw_data",0.07176,0.13608,0.20784,0.99216,0.00800129032258064,0.157485714285714,0.135096,0.000708164516129032,0.0139384761904762,0.318829333333333,0.181029333333333,0.226962666666667,0.272896,0.0431024973544974,0.0212294814814815,0.0285204867724868,0.0358114920634921,0.00218988494623656,0.00107859462365591,0.0014490247311828,0.00181945483870968
"58",58,4,"Rio Grande","Coller SWA2","Coll",19,2011,0.54,"416.7","0.9",13.7,1,18.3,19.2,0.05,36.5,0.07,-0.43,0.57,"Rio Grande",0.15,-0.11,0.41,1.01,"Coller SWA2 2011",0.5,0.0462962962962963,0.0925925925925926,0.138888888888889,0.185185185185185,"raw_data",0.0598,0.1134,0.1732,0.8268,0.00666774193548387,0.131238095238095,0.11258,0.000590137096774194,0.0116153968253968,0.265691111111111,0.150857777777778,0.189135555555556,0.227413333333333,0.0359187477954145,0.0176912345679012,0.0237670723104056,0.0298429100529101,0.0018249041218638,0.000898828853046595,0.001207520609319,0.0015162123655914
"59",59,4,"Rio Grande","Coller SWA3","Coll",19,2011,0.54,"420.1","0.75",13.8,1,18.3,19.2,0.05,36.5,0.07,-0.43,0.57,"Rio Grande",0.15,-0.11,0.41,1.01,"Coller SWA3 2011",0.5,0.0462962962962963,0.0925925925925926,0.138888888888889,0.185185185185185,"raw_data",0.0598,0.1134,0.1732,0.8268,0.00666774193548387,0.131238095238095,0.11258,0.000590137096774194,0.0116153968253968,0.265691111111111,0.150857777777778,0.189135555555556,0.227413333333333,0.0359187477954145,0.0176912345679012,0.0237670723104056,0.0298429100529101,0.0018249041218638,0.000898828853046595,0.001207520609319,0.0015162123655914
"60",60,4,"Rio Grande","Wason Upper 1","WasoU",29,2015,0.52,"470.1","0.88",15.4,1.1,19.9,20.9,0.05,39.7,0.09,-0.2,0.38,"Rio Grande",0.15,-0.11,0.41,1.11,"Wason Upper 1 2015",0.55,0.0509259259259259,0.101851851851852,0.152777777777778,0.203703703703704,"raw_data",0.06864,0.12012,0.18876,0.91124,0.00734870967741936,0.14464126984127,0.122694,0.000643154032258065,0.0126589047619048,0.291442148148148,0.164881037037037,0.207068074074074,0.249255111111111,0.0394443251028807,0.0193552598471487,0.0260516149323927,0.0327479700176367,0.00200402619474313,0.000983372072879331,0.0013235901135006,0.00166380815412186
"61",61,4,"Rio Grande","Upper Control 1","Uppe",23,2011,0.54,"374.9","0.74",12.3,0.9,20.1,21.1,0.04,40.1,0.34,0.05,0.63,"Rio Grande",0.15,-0.11,0.41,0.91,"Upper Control 1 2011",0.45,0.0416666666666667,0.0833333333333333,0.125,0.166666666666667,"raw_data",0.05382,0.10206,0.15588,0.74412,0.00600096774193548,0.118114285714286,0.101322,0.000531123387096774,0.0104538571428571,0.239122,0.135772,0.170222,0.204672,0.032326873015873,0.0159221111111111,0.0213903650793651,0.026858619047619,0.00164241370967742,0.000808945967741936,0.0010867685483871,0.00136459112903226
"62",62,4,"Rio Grande","Wason Upper 1","WasoU",29,2011,0.63,"378.4","0.74",12.4,0.8,19.9,20.9,0.04,39.7,0.09,-0.2,0.38,"Rio Grande",0.15,-0.11,0.41,0.81,"Wason Upper 1 2011",0.4,0.037037037037037,0.0740740740740741,0.111111111111111,0.148148148148148,"raw_data",0.03848,0.10584,0.14432,0.65568,0.00528774193548387,0.10407619047619,0.093808,0.000491735483870968,0.00967860317460317,0.215230222222222,0.124163555555556,0.154519111111111,0.184874666666667,0.0289519717813051,0.0144969453262787,0.0193152874779541,0.0241336296296296,0.00147094695340502,0.00073653835125448,0.000981341218637993,0.00122614408602151
"63",63,4,"Rio Grande","La Garita 1","Gari",20,2011,0.54,"260","0.85",8.5,0.6,18.6,19.6,0.03,37.2,0.13,-0.16,0.42,"Rio Grande",0.15,-0.11,0.41,0.61,"La Garita 1 2011",0.3,0.0277777777777778,0.0555555555555556,0.0833333333333333,0.111111111111111,"raw_data",0.03588,0.06804,0.10392,0.49608,0.00400064516129032,0.0787428571428571,0.067548,0.000354082258064516,0.0069692380952381,0.159414666666667,0.0905146666666667,0.113481333333333,0.136448,0.0215512486772487,0.0106147407407407,0.0142602433862434,0.017905746031746,0.00109494247311828,0.000539297311827957,0.000724512365591398,0.000909727419354839
"64",64,4,"Rio Grande","La Garita 1","Gari",20,2014,0.41,"214.5","0.64",7,0.5,18.6,19.6,0.03,37.2,0.13,-0.16,0.42,"Rio Grande",0.15,-0.11,0.41,0.51,"La Garita 1 2014",0.25,0.0231481481481481,0.0462962962962963,0.0694444444444444,0.0925925925925926,"raw_data",0.03835,0.04305,0.0814,0.4186,0.0033758064516129,0.0664444444444444,0.05291,0.000277350806451613,0.00545896825396825,0.130428518518518,0.0722896296296296,0.0916692592592593,0.111048888888889,0.0177634950029394,0.00853509994121105,0.0116112316284539,0.0146873633156966,0.000902500149342891,0.000433638142174432,0.000589925477897252,0.000746212813620072
"65",65,4,"Rio Grande","Wason Lower 2","WasoL",27,2014,0.4,"221","0.8",7.3,0.6,18.8,19.8,0.03,37.6,0.07,-0.22,0.36,"Rio Grande",0.15,-0.11,0.41,0.61,"Wason Lower 2 2014",0.3,0.0277777777777778,0.0555555555555556,0.0833333333333333,0.111111111111111,"raw_data",0.0468,0.0504,0.0972,0.5028,0.00405483870967742,0.0798095238095238,0.06318,0.000331185483870968,0.00651857142857143,0.156291111111111,0.0864577777777778,0.109735555555556,0.133013333333333,0.0212981128747795,0.0102134567901235,0.0139083421516755,0.0176032275132275,0.00108208154121864,0.000518909498207885,0.000706633512544803,0.00089435752688172
"66",66,4,"Rio Grande","Wason Upper 2","WasoU",30,2011,0.54,"249.5","0.9",8.2,0.6,19.9,20.9,0.03,39.7,0.09,-0.2,0.38,"Rio Grande",0.15,-0.11,0.41,0.61,"Wason Upper 2 2011",0.3,0.0277777777777778,0.0555555555555556,0.0833333333333333,0.111111111111111,"raw_data",0.03588,0.06804,0.10392,0.49608,0.00400064516129032,0.0787428571428571,0.067548,0.000354082258064516,0.0069692380952381,0.159414666666667,0.0905146666666667,0.113481333333333,0.136448,0.0215512486772487,0.0106147407407407,0.0142602433862434,0.017905746031746,0.00109494247311828,0.000539297311827957,0.000724512365591398,0.000909727419354839
"67",67,4,"Rio Grande","La Garita 1","Gari",20,2015,0.49,"183.7","0.82",6,0.4,18.6,19.6,0.02,37.2,0.13,-0.16,0.42,"Rio Grande",0.15,-0.11,0.41,0.41,"La Garita 1 2015",0.2,0.0185185185185185,0.037037037037037,0.0555555555555556,0.0740740740740741,"raw_data",0.02652,0.04116,0.06768,0.33232,0.00268,0.0527492063492064,0.043992,0.000230603225806452,0.00453885714285714,0.105532740740741,0.0593771851851852,0.0747623703703704,0.0901475555555556,0.0143072286890065,0.00698095002939447,0.00942304291593181,0.0118651358024691,0.000726899522102748,0.000354677299880526,0.0004787513739546,0.000602825448028674
"68",68,4,"Rio Grande","Wason Lower 2","WasoL",27,2015,0.48,"172.4","0.72",5.7,0.4,18.8,19.8,0.02,37.6,0.07,-0.22,0.36,"Rio Grande",0.15,-0.11,0.41,0.41,"Wason Lower 2 2015",0.2,0.0185185185185185,0.037037037037037,0.0555555555555556,0.0740740740740741,"raw_data",0.02704,0.04032,0.06736,0.33264,0.00268258064516129,0.0528,0.043784,0.000229512903225806,0.00451739682539683,0.105384,0.059184,0.074584,0.089984,0.0142951746031746,0.00696184126984127,0.00940628571428571,0.0118507301587302,0.000726287096774194,0.000353706451612903,0.0004779,0.000602093548387097
"69",69,4,"Rio Grande","Wason Upper 3","WasoU",31,2011,0.54,"207.2","0.52",6.8,0.5,19.9,20.9,0.02,39.7,0.09,-0.2,0.38,"Rio Grande",0.15,-0.11,0.41,0.51,"Wason Upper 3 2011",0.25,0.0231481481481481,0.0462962962962963,0.0694444444444444,0.0925925925925926,"raw_data",0.0299,0.0567,0.0866,0.4134,0.00333387096774194,0.0656190476190476,0.05629,0.000295068548387097,0.00580769841269841,0.132845555555556,0.0754288888888889,0.0945677777777778,0.113706666666667,0.0179593738977072,0.00884561728395062,0.0118835361552028,0.014921455026455,0.0009124520609319,0.000449414426523298,0.000603760304659498,0.000758106182795699
"70",70,4,"Rio Grande","Wason Lower 2","WasoL",27,2011,0.54,"95.1","0.71",3.1,0.2,18.8,19.8,0.01,37.6,0.07,-0.22,0.36,"Rio Grande",0.15,-0.11,0.41,0.21,"Wason Lower 2 2011",0.1,0.00925925925925926,0.0185185185185185,0.0277777777777778,0.037037037037037,"raw_data",0.01196,0.02268,0.03464,0.16536,0.00133354838709677,0.0262476190476191,0.022516,0.000118027419354839,0.00232307936507937,0.0531382222222222,0.0301715555555556,0.0378271111111111,0.0454826666666667,0.00718374955908289,0.00353824691358025,0.00475341446208113,0.00596858201058201,0.00036498082437276,0.000179765770609319,0.000241504121863799,0.00030324247311828
"71",71,5,"Fraser","Kaibab","Kaib",9,2014,0.53,"134.9","0.73",4.5,0.4,5.3,5.5,0.08,10.5,0.07,-0.57,0.71,"Fraser",0.04,-0.96,1.05,0.41,"Kaibab 2014",0.2,0.0185185185185185,0.037037037037037,0.0555555555555556,0.0740740740740741,"raw_data",0.02444,0.04452,0.06896,0.33104,0.00266967741935484,0.0525460317460318,0.044824,0.000234964516129032,0.00462469841269841,0.106127703703704,0.0601499259259259,0.0754758518518519,0.0908017777777778,0.0143554450323339,0.00705738506760729,0.00949007172251617,0.011922758377425,0.000729349223416965,0.000358560692951016,0.000482156869772999,0.000605753046594982
